Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
13:56:53,26.100000,27.100000,70.099998,67.199997,21.812500,39.250000
13:56:56,26.000000,27.100000,70.099998,67.300003,21.750000,39.250000
13:57:00,26.000000,27.100000,70.099998,67.300003,21.812500,39.250000
13:57:04,26.000000,27.100000,70.199997,67.300003,21.812500,39.250000
13:57:07,26.000000,27.100000,70.199997,67.400002,21.812500,39.312500
13:57:11,26.000000,27.200001,70.300003,67.500000,21.750000,39.312500
13:57:15,26.000000,27.100000,70.300003,67.400002,21.750000,39.312500
13:57:19,26.000000,27.100000,70.400002,67.400002,21.812500,39.312500
13:57:22,25.900000,27.100000,70.300003,67.500000,21.687500,39.312500
13:57:26,26.000000,27.100000,70.500000,67.500000,21.125000,39.312500
13:57:30,25.900000,27.100000,70.400002,67.500000,21.750000,39.312500
13:57:34,25.900000,27.100000,70.500000,67.599998,21.062500,39.312500
13:57:37,25.900000,27.100000,70.500000,67.599998,21.125000,39.312500
13:57:41,25.900000,27.100000,70.599998,67.599998,21.750000,39.312500
13:57:45,25.900000,27.100000,70.599998,67.599998,21.750000,39.312500
13:57:48,25.900000,27.100000,70.599998,67.599998,21.625000,39.312500
13:57:52,25.900000,27.000000,70.699997,67.599998,21.625000,39.312500
13:57:56,25.900000,27.000000,70.699997,67.599998,21.687500,39.312500
13:58:00,25.900000,27.000000,70.699997,67.599998,21.625000,39.312500
13:58:03,25.900000,27.000000,70.800003,67.599998,21.562500,39.312500
13:58:07,25.799999,27.000000,70.800003,67.699997,21.625000,39.312500
13:58:11,25.799999,27.000000,70.800003,67.699997,21.625000,39.312500
13:58:15,25.799999,27.000000,70.800003,67.699997,21.687500,39.312500
13:58:18,25.799999,27.000000,70.900002,67.800003,21.625000,39.312500
13:58:22,25.799999,27.000000,70.900002,67.800003,21.562500,39.312500
13:58:26,25.799999,27.000000,71.000000,67.800003,21.687500,39.312500
13:58:30,25.799999,27.000000,71.000000,67.800003,21.625000,39.312500
13:58:33,25.799999,27.000000,71.000000,67.800003,21.625000,39.312500
13:58:37,25.799999,27.000000,71.099998,67.900002,21.062500,39.312500
13:58:41,25.799999,27.000000,71.099998,67.900002,21.625000,39.312500
13:58:44,25.700001,27.000000,71.099998,67.900002,21.562500,39.312500
13:58:48,25.700001,26.900000,71.099998,67.900002,21.562500,39.312500
13:58:52,25.700001,26.900000,71.099998,67.900002,21.625000,39.312500
13:58:56,25.700001,27.000000,71.199997,68.000000,21.625000,39.375000
13:58:59,25.700001,26.900000,71.199997,67.900002,21.687500,39.375000
13:59:03,25.600000,26.900000,71.199997,67.900002,21.625000,39.375000
13:59:07,25.700001,26.900000,71.300003,68.000000,20.812500,39.312500
13:59:11,25.600000,26.900000,71.199997,68.000000,21.562500,39.375000
13:59:14,25.700001,26.900000,71.300003,68.000000,21.062500,39.375000
13:59:18,25.700001,26.900000,71.400002,68.000000,21.500000,39.312500
13:59:22,25.600000,26.900000,71.300003,68.099998,21.562500,39.312500
13:59:26,25.600000,26.900000,71.400002,68.099998,21.562500,39.312500
13:59:29,25.600000,26.900000,71.400002,68.099998,20.937500,39.312500
13:59:33,25.600000,26.900000,71.400002,68.199997,21.437500,39.312500
13:59:37,25.600000,26.900000,71.500000,68.199997,21.437500,39.312500
13:59:40,25.600000,26.900000,71.500000,68.199997,21.500000,39.312500
13:59:44,25.600000,26.799999,71.599998,68.199997,21.562500,39.312500
13:59:48,25.600000,26.799999,71.599998,68.199997,21.500000,39.312500
13:59:52,25.600000,26.799999,71.599998,68.199997,21.500000,39.312500
13:59:55,25.600000,26.799999,71.699997,68.300003,21.500000,39.312500
13:59:59,25.600000,26.799999,71.699997,68.300003,21.500000,39.312500
14:00:03,25.600000,26.799999,71.800003,68.300003,20.937500,39.312500
14:00:07,25.600000,26.799999,71.800003,68.400002,20.875000,39.312500
14:00:10,25.600000,26.799999,71.800003,68.400002,21.437500,39.312500
14:00:14,25.600000,26.799999,71.900002,68.400002,21.437500,39.312500
14:00:18,25.500000,26.799999,71.800003,68.400002,21.437500,39.312500
14:00:22,25.500000,26.799999,71.900002,68.500000,20.812500,39.312500
14:00:25,25.500000,26.700001,71.900002,68.400002,21.375000,39.312500
14:00:29,25.500000,26.799999,71.900002,68.500000,21.437500,39.375000
14:00:33,25.500000,26.700001,72.000000,68.500000,21.562500,39.375000
14:00:36,25.500000,26.700001,72.000000,68.500000,21.375000,39.312500
14:00:40,25.500000,26.700001,72.099998,68.599998,21.375000,39.312500
14:00:44,25.500000,26.700001,72.099998,68.599998,20.812500,39.375000
14:00:48,25.500000,26.700001,72.099998,68.599998,21.312500,39.312500
14:00:51,25.500000,26.700001,72.199997,68.699997,21.437500,39.312500
14:00:55,25.500000,26.700001,72.199997,68.699997,21.437500,39.312500
14:00:59,25.500000,26.700001,72.199997,68.699997,21.437500,39.312500
14:01:03,25.400000,26.700001,72.199997,68.699997,21.437500,39.312500
14:01:06,25.400000,26.700001,72.199997,68.800003,21.312500,39.375000
14:01:10,25.400000,26.700001,72.199997,68.800003,21.375000,39.375000
14:01:14,25.400000,26.700001,72.300003,68.800003,21.312500,39.375000
14:01:17,25.400000,26.700001,72.300003,68.800003,21.375000,39.312500
14:01:21,25.400000,26.700001,72.300003,68.800003,20.812500,39.375000
14:01:25,25.400000,26.700001,72.400002,68.900002,20.812500,39.375000
14:01:29,25.400000,26.700001,72.400002,68.900002,21.375000,39.312500
14:01:32,25.400000,26.600000,72.400002,68.800003,21.250000,39.312500
